"alpha","spec","ID","avg.pi"
"1500","98","1","0.000113468809050031"
"1500","98","2","7.58522631844665e-05"
"1500","98","3","0.000128496877320326"
"1500","98","4","0.000168194039810468"
"1500","98","5","3.97172166262826e-05"
"1500","98","6","8.60848861501624e-05"
"1500","98","7","0.000163586602032186"
"1500","98","8","9.86262415390346e-05"
"1500","98","9","0.000123190051544143"
"1500","98","10","7.50124962335826e-05"
"1500","98","11","0.000143768101991326"
"1500","98","12","7.86673625451907e-05"
"1500","98","13","8.57740470399844e-05"
"1500","98","14","8.60096831396354e-05"
"1500","98","15","0.000138215613047422"
"1500","98","16","0.000108813742698414"
"1500","98","17","9.70620189200747e-05"
"1500","98","18","0.000205371901447959"
"1500","98","19","9.85861332667536e-05"
"1500","98","20","8.56236410189306e-05"
"1500","98","21","0.000113453768447925"
"1500","98","22","0.0001778751740323"
"1500","98","23","0.000134801396369499"
"1500","98","24","8.98701043466839e-05"
"1500","98","25","9.17125781045933e-05"
"1500","98","26","6.72766132173803e-05"
"1500","98","27","0.000177601936427386"
"1500","98","28","0.000186232735268858"
"1500","98","29","0.000509522957223024"
"1500","98","30","0.000117594947560941"
"1500","98","31","0.000198628698170712"
"1500","98","32","9.27253119796892e-05"
"1500","98","33","6.06211467857481e-05"
"1500","98","34","6.55118492370153e-05"
"1500","98","35","7.32076239809365e-05"
"1500","98","36","4.36227596396472e-05"
"1500","98","37","0.00011805869945919"
"1500","98","38","5.06492275898789e-05"
"1500","98","39","0.000194412316047169"
"1500","98","40","7.34833683528686e-05"
"1500","98","41","9.40513917319805e-05"
"1500","98","42","6.94575005226609e-05"
"1500","98","43","3.86769083139936e-05"
"1500","98","44","0.000147916801405394"
"1500","98","45","7.81434482385199e-05"
"1500","98","46","8.59695748673544e-05"
"1500","98","47","0.000134746247495113"
"1500","98","48","0.000102536798086434"
"1500","98","49","8.68594771585896e-05"
"1500","98","50","0.000100611601016945"
"1500","98","51","7.83991384743114e-05"
"1500","98","52","4.42970799673719e-05"
"1500","98","53","8.33474965669826e-05"
"1500","98","54","9.17050578035407e-05"
"1500","98","55","0.000153980670820881"
"1500","98","56","0.000106800808783311"
"1500","98","57","2.38142866668572e-05"
"1500","98","58","7.62633729753469e-05"
"1500","98","59","7.44735413248063e-05"
"1500","98","60","8.5149862052611e-05"
"1500","98","61","6.54065650222776e-05"
"1500","98","62","7.50275368356879e-05"
"1500","98","63","0.000341832777583086"
"1500","98","64","4.74631267105551e-05"
"1500","98","65","0.000103923040247147"
"1500","98","66","2.49197709216029e-05"
"1500","98","67","0.000167650071367657"
"1500","98","68","8.49468139241884e-05"
"1500","98","69","7.54587007627089e-05"
"1500","98","70","0.000113208105280204"
"1500","98","71","9.86864039474562e-05"
"1500","98","72","8.26430950350471e-05"
"1500","98","73","9.22164382751237e-05"
"1500","98","74","0.000261886963858937"
"1500","98","75","0.000327090480752792"
"1500","98","76","7.56040932497276e-05"
"1500","98","77","0.000122385379331505"
"1500","98","78","0.000112197878172126"
"1500","98","79","5.37801795948162e-05"
"1500","98","80","6.93873110461691e-05"
"1500","98","81","9.09053991249378e-05"
"1500","98","82","7.66017865227181e-05"
"1500","98","83","7.78476497304473e-05"
"1500","98","84","0.00016366431180973"
"1500","98","85","7.81584888406253e-05"
"1500","98","86","6.32357047850673e-05"
"1500","98","87","0.000132432501537902"
"1500","98","88","0.000112112648093528"
"1500","98","89","5.6144060892379e-05"
"1500","98","90","0.000133600654968086"
"1500","98","91","0.000119745753662011"
"1500","98","92","0.000288443653643009"
"1500","98","93","8.60798726161272e-05"
"1500","98","94","0.000101331043150986"
"1500","98","95","6.73066944215911e-05"
"1500","98","96","8.64082590954281e-05"
"1500","98","97","9.68063286842832e-05"
"1500","98","98","0.000108858864504731"
"1500","98","99","0.000112042458617037"
"1500","98","100","0.000103306375560826"
"1500","98","101","0.000106765714045065"
"1500","98","102","0.00023237228899414"
"1500","98","103","0.000129294029231912"
"1500","98","104","8.04973024680124e-05"
