"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,1459,0.741766917293233,28,-2.18016990405016,18,4972,10,3,0.713575,0.00376874999999999,0.00528150509757207,0.797825,0.98,0.00201126307320998,0.859472049689441,4648.10204734068,1998568,1
1.66666666666667e-05,1459,0.944022556390977,29,-2.0849346761671,21,4971,8,6,0.5119875,0.01143125,0.0223272052540345,0.600425,0.975,0.0016093341380004,0.750563575242238,4430.80128534704,3652899,2
1.66666666666667e-05,1459,1.34944862155388,27,-1.7641493399086,19,4973,8,2,0.517875,0.02085,0.040260680666184,0.6765,0.985,0.00160868690931028,0.747045375285775,4520.24142674468,5385477,3
1.66666666666667e-05,1459,0.696604010025063,27,-2.18117328911485,21,4973,12,4,0.712475,0.00266875,0.00374574546475315,0.7588125,0.9725,0.00241303036396541,0.871624307635226,4694.08030768823,6972372,4
1.66666666666667e-05,1459,0.666127819548872,25,-2.14274474987818,17,4975,11,2,0.7515125,0.0032875,0.00437451140200595,0.8293625,0.98,0.00221105527638191,0.889118690954643,4781.20927501435,7076040,5
1.66666666666667e-05,1459,0.731002506265664,47,-2.51224290270953,23,4953,27,2,0.6384625,0.00643749999999998,0.0100828161403371,0.7338625,0.9925,0.00545124167171411,0.813093148105743,4517.51087067145,9212314,6
1.66666666666667e-05,1459,0.630225563909774,20,-1.98759761262311,19,4980,7,2,0.6884,0.00364374999999995,0.00529307088901793,0.7546,0.975,0.00140562248995984,0.847557840616967,4592.05863819129,4638317,7
1.66666666666667e-05,1459,0.193796992481203,16,-2.21364237401934,14,4984,4,8,0.8793,0.000393749999999971,0.000447799385875094,0.9027375,0.9825,0.000802568218298555,0.95476320299112,4905.19666874383,9869600,8
1.66666666666667e-05,1459,1.07318295739348,31,-2.06673879935218,21,4969,6,3,0.6871125,0.00235624999999995,0.00342920555222027,0.7284875,0.97,0.00120748641577782,0.857967713577879,4451.45930898532,5604302,9
1.66666666666667e-05,1459,0.326591478696742,22,-2.29815205196874,19,4978,13,1,0.8022375,0.00121249999999995,0.00151139780925219,0.8380375,0.985,0.00261149055845721,1,5000,2954423,11
