"alpha","spec","ID","avg.pi"
"1500","98","1","0.000231113891951323"
"1500","98","2","0.000143326910996234"
"1500","98","3","7.99483204911659e-05"
"1500","98","4","6.61310206903536e-05"
"1500","98","5","0.000178090755995811"
"1500","98","6","7.81334211704496e-05"
"1500","98","7","0.000148588614966101"
"1500","98","8","0.000257124106525566"
"1500","98","9","0.000158826251465832"
"1500","98","10","0.000113463795515995"
"1500","98","11","0.000115739939967943"
"1500","98","12","0.000104657522983293"
"1500","98","13","0.000170595522613295"
"1500","98","14","7.10818855500423e-05"
"1500","98","15","0.000227421424134451"
"1500","98","16","4.37130032522795e-05"
"1500","98","17","0.000181467371168469"
"1500","98","18","0.000152346258725429"
"1500","98","19","7.71733294027227e-05"
"1500","98","20","0.00014960886914225"
"1500","98","21","0.000117612494930064"
"1500","98","22","0.000154787849800537"
"1500","98","23","7.07209110995131e-05"
"1500","98","24","6.92619726952909e-05"
"1500","98","25","0.000184267429927088"
"1500","98","26","7.7952933945185e-05"
"1500","98","27","0.000107084073456295"
"1500","98","28","9.39085060119793e-05"
"1500","98","29","7.75568647564099e-05"
"1500","98","30","0.000176230734868778"
"1500","98","31","0.000154524639263692"
"1500","98","32","5.27298442144569e-05"
"1500","98","33","0.000159107009371799"
"1500","98","34","5.77358579485321e-05"
"1500","98","35","9.50215105677777e-05"
"1500","98","36","6.25062355829562e-05"
"1500","98","37","6.60508041457916e-05"
"1500","98","38","0.000135267655034766"
"1500","98","39","6.55168627710504e-05"
"1500","98","40","8.8794701296149e-05"
"1500","98","41","0.000122909293638176"
"1500","98","42","0.000181823332084963"
"1500","98","43","7.08663035865318e-05"
"1500","98","44","0.000109505610395262"
"1500","98","45","0.00022796789934428"
"1500","98","46","0.00011235831126125"
"1500","98","47","0.000148896947309261"
"1500","98","48","0.000100235585964311"
"1500","98","49","0.000126065313313289"
"1500","98","50","0.000101135515323616"
"1500","98","51","0.000106555145615589"
"1500","98","52","6.99312794889805e-05"
"1500","98","53","0.000108044165224022"
"1500","98","54","0.000177674632670895"
"1500","98","55","0.000136450849067057"
"1500","98","56","0.000208126838400262"
"1500","98","57","0.000196136971755253"
"1500","98","58","0.000118823263399547"
"1500","98","59","8.87646200919382e-05"
"1500","98","60","5.9184769284684e-05"
"1500","98","61","9.3209118014079e-05"
"1500","98","62","0.00015668797919985"
"1500","98","63","6.73668568300126e-05"
"1500","98","64","0.000218437171143502"
"1500","98","65","0.000270169322084968"
"1500","98","66","0.000107407446401561"
"1500","98","67","0.000155567454342999"
"1500","98","68","0.000107252026846472"
"1500","98","69","0.000189491532391691"
"1500","98","70","0.000147691192373813"
"1500","98","71","9.98094355713248e-05"
"1500","98","72","0.000108144435904725"
"1500","98","73","0.000181354566652679"
"1500","98","74","0.000165048047203426"
"1500","98","75","0.000133039139156152"
"1500","98","76","0.000153815224197722"
"1500","98","77","0.000104223852289255"
"1500","98","78","0.000117018391146901"
"1500","98","79","6.54968086349099e-05"
"1500","98","80","8.70951132582406e-05"
"1500","98","81","8.70875929571879e-05"
"1500","98","82","8.26355747339944e-05"
"1500","98","83","7.39872285233989e-05"
"1500","98","84","0.000109269974295611"
"1500","98","85","0.000144803396769579"
"1500","98","86","2.39095438135246e-05"
"1500","98","87","7.10217231416208e-05"
"1500","98","88","0.000214524107829085"
"1500","98","89","8.12794137774923e-05"
"1500","98","90","0.000128444235212957"
"1500","98","91","8.15551581494244e-05"
"1500","98","92","3.48114735729101e-05"
"1500","98","93","0.000110919426993168"
"1500","98","94","8.69647613733273e-05"
"1500","98","95","0.00010217081010187"
"1500","98","96","8.98901584828244e-05"
"1500","98","97","0.000167828051825904"
"1500","98","98","7.50475909718285e-05"
"1500","98","99","0.000163230641115692"
"1500","98","100","0.000187481105243605"
"1500","98","101","0.000178907962043537"
"1500","98","102","0.00010363225527311"
"1500","98","103","6.3340988999805e-05"
"1500","98","104","0.000151945176002619"
"1500","98","105","6.41356341443727e-05"
"1500","98","106","0.000155682765625807"
"1500","98","107","8.80852862301784e-05"
"1500","98","108","0.000108342470499112"
"1500","98","109","0.00011373703312091"
"1500","98","110","0.000110242599898426"
"1500","98","111","8.70900997242055e-05"
"1500","98","112","0.000195124237880157"
"1500","98","113","5.47051766242973e-05"
"1500","98","114","0.000299543617996782"
"1500","98","115","6.6617333491761e-05"
"1500","98","116","0.000157307150653188"
"1500","98","117","0.000100541411540453"
"1500","98","118","4.67587251786197e-05"
"1500","98","119","0.000172856626463137"
"1500","98","120","0.000169981364693991"
"1500","98","121","0.000125629135852233"
"1500","98","122","0.000137019885180044"
"1500","98","123","0.000126561653182767"
"1500","98","124","6.48901710166595e-05"
"1500","98","125","5.42389179590304e-05"
"1500","98","126","0.000131913600765266"
"1500","98","127","4.72074364747636e-05"
"1500","98","128","6.8577625299496e-05"
"1500","98","129","6.72715996833452e-05"
"1500","98","130","3.85666105652208e-05"
"1500","98","131","7.74992091150059e-05"
"1500","98","132","6.22104370748837e-05"
"1500","98","133","4.37831927287713e-05"
"1500","98","134","8.82783072905308e-05"
"1500","98","135","0.000178489331951603"
"1500","98","136","6.73267485577316e-05"
"1500","98","137","0.000124180224516081"
"1500","98","138","9.93156024688647e-05"
"1500","98","139","8.32998679936489e-05"
"1500","98","140","0.000120076646908329"
"1500","98","141","0.00011894358821639"
"1500","98","142","8.72204516091188e-05"
"1500","98","143","0.000340065506835703"
"1500","98","144","0.000153491851252456"
"1500","98","145","6.24159919703239e-05"
"1500","98","146","0.000142529759084649"
"1500","98","147","0.000186912069130618"
"1500","98","148","0.000168326898462399"
"1500","98","149","7.46114135107723e-05"
"1500","98","150","8.91255945424674e-05"
"1500","98","151","0.000121643376294306"
"1500","98","152","0.000163090262162708"
"1500","98","153","0.000243778078924055"
"1500","98","154","6.76426012019446e-05"
"1500","98","155","0.000167419448802041"
"1500","98","156","0.000104807929004347"
"1500","98","157","9.38859451088213e-05"
"1500","98","158","7.61280075563985e-05"
"1500","98","159","5.07695524067219e-05"
"1500","98","160","0.000104361724475221"
"1500","98","161","0.000106018697473831"
"1500","98","162","0.000161470890669362"
"1500","98","163","0.000158635737172497"
"1500","98","164","0.000116712565570758"
"1500","98","165","0.000156998818310028"
"1500","98","166","8.20239235817088e-05"
"1500","98","167","9.36352684070649e-05"
"1500","98","168","0.000147054473551352"
"1500","98","169","7.90032693255443e-05"
"1500","98","170","6.25563709233075e-05"
"1500","98","171","7.36036931697116e-05"
"1500","98","172","0.000131061299979294"
"1500","98","173","6.82116373149317e-05"
"1500","98","174","8.13094949817031e-05"
"1500","98","175","7.47944075030545e-05"
"1500","98","176","5.96259602797753e-05"
"1500","98","177","6.70510041857996e-05"
"1500","98","178","0.000277591859223975"
"1500","98","179","9.80120836197315e-05"
"1500","98","180","0.000109751273562983"
"1500","98","181","0.000142068513953417"
"1500","98","182","6.56472146559638e-05"
"1500","98","183","0.000213872348404518"
"1500","98","184","8.57489793698088e-05"
"1500","98","185","7.58372225823611e-05"
"1500","98","186","7.43482029739281e-05"
"1500","98","187","7.83991384743114e-05"
"1500","98","188","9.57259120997132e-05"
"1500","98","189","0.000189674526383974"
"1500","98","190","3.06251726535783e-05"
"1500","98","191","0.000155868266385107"
"1500","98","192","8.63656440561295e-05"
"1500","98","193","0.000112298148852828"
"1500","98","194","6.80461906917724e-05"
"1500","98","195","0.00010091491982607"
"1500","98","196","0.000164834972006933"
"1500","98","197","0.000121605774789043"
"1500","98","198","0.000101153062692739"
"1500","98","199","4.72074364747636e-05"
"1500","98","200","0.000129725193158933"
"1500","98","201","0.000284044277527185"
"1500","98","202","0.000158555520627935"
"1500","98","203","0.000218993673421401"
"1500","98","204","7.04326328924933e-05"
"1500","98","205","8.12242649031059e-05"
"1500","98","206","6.43211349036725e-05"
"1500","98","207","7.9953334025201e-05"
"1500","98","208","4.06321865876935e-05"
"1500","98","209","9.46354684470729e-05"
"1500","98","210","0.000112225452609319"
"1500","98","211","7.68273955542988e-05"
"1500","98","212","0.000149759275163303"
"1500","98","213","7.43482029739281e-05"
"1500","98","214","6.12703994432972e-05"
"1500","98","215","6.65346101801814e-05"
"1500","98","216","0.000143118849333777"
"1500","98","217","7.54035518883225e-05"
"1500","98","218","5.74149917702839e-05"
"1500","98","219","9.18604773586296e-05"
"1500","98","220","4.46329867477255e-05"
"1500","98","221","0.000126905080264173"
"1500","98","222","0.000122663630470455"
"1500","98","223","0.000107114154660506"
"1500","98","224","5.35896653014814e-05"
"1500","98","225","7.02721998033692e-05"
"1500","98","226","0.00021079403850695"
"1500","98","227","0.000149944775922603"
"1500","98","228","4.08227008810283e-05"
"1500","98","229","3.47914194367696e-05"
"1500","98","230","7.42780134974363e-05"
"1500","98","231","5.55048353029002e-05"
"1500","98","232","0.000159986884594964"
"1500","98","233","5.96660685520563e-05"
"1500","98","234","0.000127551826154705"
"1500","98","235","0.000146116942686783"
"1500","98","236","0.00017650647924071"
"1500","98","237","4.47382709624632e-05"
"1500","98","238","0.000166429275830103"
"1500","98","239","0.000102113154460466"
"1500","98","240","0.000145748447935201"
"1500","98","241","8.13245355838085e-05"
"1500","98","242","0.000134127076041775"
"1500","98","243","4.85911718684589e-05"
"1500","98","244","0.000144204279452382"
"1500","98","245","6.54466732945587e-05"
"1500","98","246","0.00010559756061488"
"1500","98","247","7.03925246202123e-05"
"1500","98","248","7.99633610932713e-05"
"1500","98","249","5.03534290818063e-05"
"1500","98","250","0.000125904880224165"
"1500","98","251","7.32878405254986e-05"
"1500","98","252","4.46580544179011e-05"
"1500","98","253","0.000199959791457038"
"1500","98","254","0.000180188919989512"
"1500","98","255","0.000128389086338571"
"1500","98","256","9.60066700056803e-05"
"1500","98","257","0.000141033219175163"
"1500","98","258","4.76486274698549e-05"
"1500","98","259","0.00011823417315042"
"1500","98","260","0.000107517744150334"
"1500","98","261","0.000139398807079712"
"1500","98","262","5.83450023338001e-05"
"1500","98","263","0.000173425662576124"
"1500","98","264","9.14543811017843e-05"
"1500","98","265","0.000121274881542725"
"1500","98","266","6.04055648222376e-05"
"1500","98","267","0.0001234407282459"
"1500","98","268","0.000115860264784787"
"1500","98","269","9.58863451888373e-05"
"1500","98","270","0.000226879962458657"
"1500","98","271","0.000120580507078859"
"1500","98","272","0.000117833090427609"
"1500","98","273","5.65852518874702e-05"
"1500","98","274","7.68925714967555e-05"
"1500","98","275","8.69898290435029e-05"
"1500","98","276","9.21612894007373e-05"
"1500","98","277","0.000153772609158423"
"1500","98","278","9.6365137689192e-05"
"1500","98","279","0.000140461676295159"
"1500","98","280","0.000219678020817196"
"1500","98","281","4.7693749276171e-05"
"1500","98","282","0.00010933264347105"
"1500","98","283","8.10788724160872e-05"
"1500","98","284","8.89250531810623e-05"
"1500","98","285","9.80271242218369e-05"
"1500","98","286","0.000137310670154081"
"1500","98","287","9.85560520625428e-05"
"1500","98","288","0.000126947695303472"
"1500","98","289","8.93787780112413e-05"
"1500","98","290","0.000152291109851043"
"1500","98","291","0.000149736714260145"
"1500","98","292","9.41065406063669e-05"
"1500","98","293","0.000140764995104284"
"1500","98","294","7.46866165212992e-05"
"1500","98","295","0.000108773634426133"
"1500","98","296","9.35700924646082e-05"
"1500","98","297","0.000135413047521785"
"1500","98","298","0.000181111410251975"
"1500","98","299","7.25984795956685e-05"
"1500","98","300","5.25944787955085e-05"
"1500","98","301","0.000160275162801984"
"1500","98","302","7.14278193984662e-05"
"1500","98","303","0.000155176398688259"
"1500","98","304","4.32367175189424e-05"
"1500","98","305","8.47487793298008e-05"
"1500","98","306","0.000140226040195508"
