"mf","s","pi.sel.98","SegSites.sel.98","TajD.sel.98","HapNum.sel.98","Fixed.sel.98","Singletons.sel.98","Doubletons.sel.98","H1.sel.98","H2.sel.98","H2.H1.sel.98","H12.sel.98","Freq.sel.98","Singletons.Fixed.sel.98","ehh.sel.98","ihh.sel.98","seed","ID"
1.66666666666667e-05,300,0.683621553884712,33,-2.32889168578199,26,4967,7,11,0.655575,0.00351875000000001,0.00536742554246275,0.7242125,0.9875,0.00140930138916851,0.823523742209086,4560.74675833708,1186742,1
1.66666666666667e-05,300,1.24550125313283,35,-2.0800317261236,25,4965,15,4,0.3603375,0.15103125,0.419138307836403,0.7126125,0.9825,0.00302114803625378,0.636684062938152,4004.77240094511,8063710,2
1.66666666666667e-05,300,2.46943609022556,30,-1.22371252529562,32,4970,7,5,0.1834375,0.0778125,0.424190800681431,0.3020625,0.9825,0.00140845070422535,0.477806771563587,3909.47997481435,627680,3
1.66666666666667e-05,300,0.572894736842105,24,-2.17670382514383,27,4976,7,4,0.552875,0.00527500000000003,0.00954103549626955,0.615775,0.975,0.00140675241157556,0.767253312240459,4247.86703579197,2831822,6
1.66666666666667e-05,300,0.473157894736842,32,-2.42474230272068,23,4968,13,10,0.7169875,0.00296249999999998,0.00413187119719658,0.7888125,0.9875,0.00261674718196457,0.862076720426653,4633.3525669858,13578,4
1.66666666666667e-05,300,1.36135338345865,39,-2.11733591733393,30,4961,6,14,0.5866625,0.00525624999999996,0.00895958067883999,0.6552875,0.9875,0.00120943358193913,0.782921030649618,4463.33138212427,8683459,5
1.66666666666667e-05,300,3.07328320802005,34,-1.09931903541762,22,4966,3,2,0.21015,0.091125,0.433618843683084,0.377475,0.965,0.000604107933950866,0.54416930220039,3684.71703115537,5525359,8
1.66666666666667e-05,300,4.63269423558897,42,-0.762892487264278,30,4958,7,7,0.206275,0.097375,0.472063992243364,0.386125,0.9875,0.00141185962081484,0.476199961447022,3562.02272055516,8160607,7
1.66666666666667e-05,300,1.00110275689223,47,-2.40663950117546,29,4953,19,10,0.6095375,0.00503125000000004,0.0082542091339746,0.6795125,0.9875,0.00383605895416919,0.796465976996723,4489.10825676283,5517475,9
1.66666666666667e-05,300,0.610501253132832,34,-2.38623250248251,20,4966,7,11,0.6963375,0.00328125000000001,0.00471215466637947,0.758775,0.98,0.00140958517921869,0.849692050733337,4630.50956469544,3325397,12
1.66666666666667e-05,300,1.70794486215539,36,-1.87467326927662,25,4964,5,1,0.5628125,0.00405624999999998,0.00720710716268737,0.603925,0.96,0.00100725221595488,0.76068864229765,4157.57144119887,5370759,11
1.66666666666667e-05,300,0.946854636591479,32,-2.16366130540464,22,4968,8,7,0.510825,0.0243187499999999,0.0476068125091762,0.7131,0.975,0.00161030595813205,0.751288642805352,4679.24324039286,9243249,10
1.66666666666667e-05,300,1.30167919799499,30,-1.90465470731702,24,4970,6,3,0.544875,0.00465000000000004,0.00853406744666216,0.588975,0.96,0.00120724346076459,0.765543407310705,4281.48640121845,925036,13
1.66666666666667e-05,300,0.940025062656642,31,-2.14219711974906,26,4969,5,3,0.698725,0.00149999999999995,0.00214676732620122,0.723775,0.9675,0.00100623867981485,0.86989731025157,4678.61717609886,1867318,17
1.66666666666667e-05,300,0.369285714285714,27,-2.39025760401335,22,4973,12,10,0.7212125,0.00295624999999999,0.00409899994800422,0.79325,0.9875,0.00241303036396541,0.864550536528947,4650.24948274754,8932074,18
1.66666666666667e-05,300,1.98203007518797,31,-1.55171055305961,24,4969,9,3,0.446475,0.01745,0.0390839352707319,0.58075,0.9725,0.00181122962366673,0.707861818567302,4355.22898391329,7348183,19
1.66666666666667e-05,300,0.948358395989975,25,-1.95018271659729,20,4975,12,3,0.3965125,0.1612875,0.406765234387314,0.7845125,0.975,0.00241206030150754,0.689664491463977,4157.49510249819,5169577,16
1.66666666666667e-05,300,1.29083959899749,39,-2.14995553050256,29,4961,7,6,0.5866875,0.00528125000000002,0.00900181101523386,0.6553125,0.9875,0.00141100584559565,0.782966009124205,4546.51955921095,4467065,15
1.66666666666667e-05,300,0.941027568922306,29,-2.08673331626538,16,4971,6,3,0.7943125,0.00221249999999995,0.002785427649697,0.8699625,0.975,0.0012070006035003,0.915905345725397,4832.07986289632,4661354,14
1.66666666666667e-05,300,1.21270676691729,24,-1.72475511471842,16,4976,7,2,0.6302875,0.00618750000000001,0.00981694861471949,0.7092875,0.9875,0.00140675241157556,0.771168797789629,4245.80330270513,965685,22
1.66666666666667e-05,300,1.81317042606516,31,-1.64740045211364,24,4969,5,3,0.5446375,0.00441250000000004,0.00810171903330204,0.5850625,0.96,0.00100623867981485,0.749809617058312,4193.78384736728,3299044,23
1.66666666666667e-05,300,3.12002506265664,39,-1.30377598285523,31,4961,8,4,0.375275,0.03011875,0.0802578109386449,0.5544625,0.98,0.00161257810925217,0.601982097186701,4078.33635628164,5543045,20
1.66666666666667e-05,300,1.40508771929825,32,-1.91110320300376,24,4968,6,1,0.570275,0.00401874999999996,0.00704703870939452,0.6116625,0.96,0.00120772946859903,0.781277197563098,4250.77428062446,8759942,21
1.66666666666667e-05,300,1.76750626566416,33,-1.74742470423307,26,4967,5,7,0.4554875,0.0132625,0.0291171546968907,0.5685375,0.985,0.00100664384940608,0.704001498301494,4191.08765063742,5301743,26
1.66666666666667e-05,300,1.31263157894737,29,-1.86356648164389,26,4971,14,2,0.2673,0.07149375,0.26746632996633,0.4465125,0.9775,0.0028163347415007,0.611111111111111,4080.88249721293,5531716,24
