"alpha","spec","ID","avg.pi"
"1500","98","1","6.53614432159615e-05"
"1500","98","2","0.000102321216122924"
"1500","98","3","0.000199924696718792"
"1500","98","4","7.82487324532576e-05"
"1500","98","5","6.53965379542074e-05"
"1500","98","6","8.0286734038537e-05"
"1500","98","7","7.88227821002797e-05"
"1500","98","8","9.1955734505297e-05"
"1500","98","9","7.53233353437605e-05"
"1500","98","10","6.23608430959375e-05"
"1500","98","11","3.67918195167856e-05"
"1500","98","12","0.000260397944250504"
"1500","98","13","0.000289616820607229"
"1500","98","14","0.000102677177039418"
"1500","98","15","0.000154216306920532"
"1500","98","16","6.5381497352102e-05"
"1500","98","17","8.58091417782303e-05"
"1500","98","18","6.91767426166938e-05"
"1500","98","19","0.000108573093064728"
"1500","98","20","0.000177832558993002"
"1500","98","21","0.00031006201240248"
"1500","98","22","0.000195966511598059"
"1500","98","23","9.84106595755241e-05"
"1500","98","24","8.51448485185759e-05"
"1500","98","25","0.000230908337055882"
"1500","98","26","2.86749079139136e-05"
"1500","98","27","0.000186914575897636"
"1500","98","28","0.000104131101909605"
"1500","98","29","0.000197162239465437"
"1500","98","30","0.000203070689325835"
"1500","98","31","0.000122425487603786"
"1500","98","32","0.000300656622552581"
"1500","98","33","0.000117870691932873"
"1500","98","34","0.000154960816724748"
"1500","98","35","8.23598303620624e-05"
"1500","98","36","6.91767426166938e-05"
"1500","98","37","0.00010050381003519"
"1500","98","38","0.000282449973704014"
"1500","98","39","0.00018030423127232"
"1500","98","40","4.18128738529661e-05"
"1500","98","41","9.66433888281416e-05"
"1500","98","42","0.000118103821265506"
"1500","98","43","0.000153953096383688"
"1500","98","44","0.000325318196471374"
"1500","98","45","0.000152812517390696"
"1500","98","46","0.00018335998026673"
"1500","98","47","9.67311256737563e-05"
"1500","98","48","0.000233480280015903"
"1500","98","49","0.000128206092346289"
"1500","98","50","0.000323736426483292"
"1500","98","51","0.000104156169579781"
"1500","98","52","0.000116629842259179"
"1500","98","53","0.0002278851760327"
"1500","98","54","0.00015423886782369"
"1500","98","55","0.000111861971391772"
"1500","98","56","0.000118284308490771"
"1500","98","57","0.000105680283926459"
"1500","98","58","0.000126729606572944"
"1500","98","59","5.35194758249896e-05"
"1500","98","60","0.000209633405377817"
"1500","98","61","6.8301880927564e-05"
"1500","98","62","0.000108801208863327"
"1500","98","63","0.000110733926233868"
"1500","98","64","0.000364072814562913"
"1500","98","65","0.000144485037358349"
"1500","98","66","0.000170254602298906"
"1500","98","67","7.5263172935339e-05"
"1500","98","68","9.922786562325e-05"
"1500","98","69","6.8226677917037e-05"
"1500","98","70","0.000209921683584837"
"1500","98","71","4.93231478375876e-05"
"1500","98","72","0.00015834495219846"
"1500","98","73","0.000107658123103317"
"1500","98","74","9.50190038007601e-05"
"1500","98","75","0.000169778316565569"
"1500","98","76","7.26410946349671e-05"
"1500","98","77","0.000216780198144892"
"1500","98","78","0.000125696818561707"
"1500","98","79","8.29188394069791e-05"
"1500","98","80","9.25498382884597e-05"
"1500","98","81","4.4848568711236e-05"
"1500","98","82","0.000123909493678184"
"1500","98","83","6.17767663808451e-05"
"1500","98","84","0.000100067632574134"
"1500","98","85","0.000134916707652307"
"1500","98","86","8.80451779578973e-05"
"1500","98","87","9.90273242618449e-05"
"1500","98","88","0.000145036526102213"
"1500","98","89","8.35781191325984e-05"
"1500","98","90","7.53484030139361e-05"
"1500","98","91","7.7068045187985e-05"
"1500","98","92","0.00012855453296173"
"1500","98","93","6.11400475583839e-05"
"1500","98","94","0.000173262722719983"
"1500","98","95","0.000109267467528593"
"1500","98","96","0.00019393853708085"
"1500","98","97","0.000144745741128176"
"1500","98","98","0.000246056730143021"
"1500","98","99","8.90654321340458e-05"
"1500","98","100","6.73919245001883e-05"
"1500","98","101","0.000280013396162942"
"1500","98","102","0.000131131489455786"
"1500","98","103","5.66805090341377e-05"
"1500","98","104","0.000113105327832484"
"1500","98","105","0.000197149705630349"
"1500","98","106","4.08277144150635e-05"
"1500","98","107","0.000121292428911848"
"1500","98","108","0.000113626735372137"
"1500","98","109","7.51629022546364e-05"
"1500","98","110","5.96234535127577e-05"
"1500","98","111","0.000113564066196698"
"1500","98","112","0.00010912708857561"
"1500","98","113","0.000124999937330825"
"1500","98","114","5.17647389126948e-05"
"1500","98","115","0.000158673338677761"
"1500","98","116","7.61931834988552e-05"
"1500","98","117","0.000122929347774317"
"1500","98","118","0.000114373751943371"
"1500","98","119","7.62633729753469e-05"
"1500","98","120","8.97046577235247e-05"
"1500","98","121","0.000113343470699152"
"1500","98","122","5.34643269506031e-05"
"1500","98","123","9.83454836330675e-05"
"1500","98","124","3.59370119637963e-05"
"1500","98","125","6.79810147493158e-05"
"1500","98","126","0.000145232053929583"
"1500","98","127","0.000111057299179134"
"1500","98","128","0.000140847718415864"
"1500","98","129","7.92439189592304e-05"
"1500","98","130","9.01308081165105e-05"
"1500","98","131","0.000463050003484406"
"1500","98","132","0.000185167359286394"
"1500","98","133","0.000182525226849881"
"1500","98","134","0.000623989459546045"
"1500","98","135","6.03754836180269e-05"
"1500","98","136","3.77769789546882e-05"
"1500","98","137","0.000194201747617694"
"1500","98","138","4.18529821252471e-05"
"1500","98","139","0.000102158276266782"
"1500","98","140","0.000110212518694215"
"1500","98","141","0.000190845186581176"
"1500","98","142","0.000191035700874511"
"1500","98","143","0.000202185800568635"
"1500","98","144","3.48164871069452e-05"
"1500","98","145","0.000117627535532169"
"1500","98","146","0.000133903973777212"
"1500","98","147","7.58472496504313e-05"
"1500","98","148","3.94063775161047e-05"
"1500","98","149","9.90373513299151e-05"
"1500","98","150","0.000334565659999168"
"1500","98","151","6.5577025179472e-05"
"1500","98","152","8.80451779578973e-05"
"1500","98","153","0.000156402207759848"
"1500","98","154","6.65421304812341e-05"
"1500","98","155","0.000107359817828227"
"1500","98","156","0.000299651408978538"
"1500","98","157","9.38257827003997e-05"
"1500","98","158","5.05790381133871e-05"
"1500","98","159","9.08652908526568e-05"
"1500","98","160","0.000230201428756929"
"1500","98","161","0.000528637055731948"
"1500","98","162","0.000146041739676256"
"1500","98","163","0.000104243906425395"
"1500","98","164","0.000118126382168664"
"1500","98","165","7.42880405655066e-05"
"1500","98","166","6.79459200110699e-05"
"1500","98","167","0.000127040445683122"
"1500","98","168","0.000120222039395348"
"1500","98","169","0.000865012601517797"
"1500","98","170","0.000169848506042061"
"1500","98","171","8.41872635178665e-05"
"1500","98","172","0.000237112585424353"
"1500","98","173","0.000124195265118187"
"1500","98","174","0.000106219238835236"
"1500","98","175","0.000141481930471307"
"1500","98","176","7.25683983914577e-05"
"1500","98","177","0.000215396462751197"
"1500","98","178","8.16529220631094e-05"
"1500","98","179","0.000101616814590988"
"1500","98","180","7.34733412847983e-05"
"1500","98","181","8.23899115662731e-05"
"1500","98","182","0.000229464439253766"
"1500","98","183","0.000114438927885828"
"1500","98","184","3.78571954992502e-05"
"1500","98","185","0.000308362424364572"
"1500","98","186","0.000210267617433261"
"1500","98","187","0.000106672963665415"
"1500","98","188","4.65631973512497e-05"
"1500","98","189","0.000109989416429652"
"1500","98","190","5.95858520074942e-05"
"1500","98","191","0.000142898253836231"
"1500","98","192","4.37731656607011e-05"
"1500","98","193","0.000170457650427329"
"1500","98","194","0.000112739339847919"
"1500","98","195","7.45236766651576e-05"
"1500","98","196","2.892558461567e-05"
"1500","98","197","0.000201962698304072"
"1500","98","198","5.64122849632583e-05"
"1500","98","199","0.000147618496130304"
"1500","98","200","0.000249483480656031"
"1500","98","201","9.39085060119793e-05"
"1500","98","202","5.35495570292003e-05"
"1500","98","203","0.000142386873364648"
"1500","98","204","6.87405651556376e-05"
"1500","98","205","8.04271129915206e-05"
"1500","98","206","0.000133467796316155"
"1500","98","207","6.86628553780932e-05"
"1500","98","208","8.54506740947187e-05"
"1500","98","209","0.000166511999141683"
"1500","98","210","7.51979969928823e-05"
"1500","98","211","6.91566884805532e-05"
"1500","98","212","0.0001684697841824"
"1500","98","213","0.000121274881542725"
"1500","98","214","0.000203747516420577"
"1500","98","215","8.10437776778413e-05"
"1500","98","216","0.000131582707518947"
"1500","98","217","9.81925708449961e-05"
"1500","98","218","4.97442846965383e-05"
"1500","98","219","6.80812854300183e-05"
"1500","98","220","0.000192564828755225"
"1500","98","221","7.86397881079975e-05"
"1500","98","222","8.49693748273464e-05"
"1500","98","223","0.000124816943338542"
"1500","98","224","0.000124571280170821"
"1500","98","225","4.28431550971849e-05"
"1500","98","226","0.000267346702423191"
"1500","98","227","0.000111127488655626"
"1500","98","228","5.265464120393e-05"
"1500","98","229","0.000101035244642914"
"1500","98","230","8.7874717800703e-05"
"1500","98","231","8.84337268456198e-05"
"1500","98","232","0.000163523932856747"
"1500","98","233","0.000117888239301996"
"1500","98","234","0.000185204960791657"
"1500","98","235","0.000132001337610881"
"1500","98","236","4.91025523400419e-05"
"1500","98","237","0.000135746447535121"
"1500","98","238","9.06296547530057e-05"
"1500","98","239","7.92940542995817e-05"
"1500","98","240","3.98776497154067e-05"
"1500","98","241","0.000172713740743136"
"1500","98","242","0.000152433995571044"
"1500","98","243","3.09159576276158e-05"
"1500","98","244","0.00026747204077407"
"1500","98","245","0.000198513386887904"
"1500","98","246","0.000111017190906853"
"1500","98","247","9.922786562325e-05"
"1500","98","248","0.000171367606854704"
"1500","98","249","0.000214980339426281"
"1500","98","250","0.000109327629937015"
"1500","98","251","8.72455192792944e-05"
"1500","98","252","0.000133863865504931"
"1500","98","253","0.000130256627766656"
"1500","98","254","0.000143996217789924"
"1500","98","255","0.000211701488167308"
"1500","98","256","0.000142752861349212"
"1500","98","257","0.000264338582002115"
"1500","98","258","5.27749660207731e-05"
"1500","98","259","0.000121425287563778"
"1500","98","260","0.000107282108050683"
"1500","98","261","4.28431550971848e-05"
"1500","98","262","0.000106547625314537"
"1500","98","263","9.62347858042786e-05"
"1500","98","264","0.000225985046633387"
"1500","98","265","0.000144384766677646"
"1500","98","266","0.000241145973555613"
"1500","98","267","0.000283673276008585"
"1500","98","268","3.68770495953827e-05"
"1500","98","269","6.91967967528343e-05"
"1500","98","270","0.000285997049033867"
"1500","98","271","0.000212576349856437"
"1500","98","272","0.000152248494811744"
"1500","98","273","0.000146866466025035"
"1500","98","274","4.87089899182844e-05"
"1500","98","275","8.72530395803472e-05"
"1500","98","276","7.14328329325013e-05"
"1500","98","277","0.000167715247310114"
"1500","98","278","6.9342189239853e-05"
"1500","98","279","5.48255014411404e-05"
"1500","98","280","0.000133161970740013"
"1500","98","281","4.55379296410661e-05"
"1500","98","282","0.000135663724223541"
"1500","98","283","0.000150097688710674"
"1500","98","284","7.24881818468957e-05"
"1500","98","285","0.00015866331160969"
"1500","98","286","0.000156116436319845"
"1500","98","287","2.08638218871845e-05"
"1500","98","288","0.000112671657138445"
"1500","98","289","5.82096369148516e-05"
"1500","98","290","0.000105717885431723"
"1500","98","291","0.000119532678465518"
"1500","98","292","8.92785073305388e-05"
"1500","98","293","0.000145242080997653"
"1500","98","294","0.000184362687073756"
"1500","98","295","9.77112715776238e-05"
"1500","98","296","0.000135460676095119"
"1500","98","297","0.000375959903760201"
"1500","98","298","0.000109989416429652"
"1500","98","299","0.00011482747677355"
"1500","98","300","0.000123776635026253"
"1500","98","301","0.000168828251865912"
"1500","98","302","7.64538872686818e-05"
"1500","98","303","8.31344213704896e-05"
"1500","98","304","0.000115007963998815"
"1500","98","305","0.000207941337640962"
"1500","98","306","5.07469915035639e-05"
"1500","98","307","3.97422842964583e-05"
